==28144== NVPROF is profiling process 28144, command: /afs/andrew.cmu.edu/usr16/kflorend/private/15418/project/15418-asst2/scan/cudaScan -m scan -i random -n 100
==28144== Profiling application: /afs/andrew.cmu.edu/usr16/kflorend/private/15418/project/15418-asst2/scan/cudaScan -m scan -i random -n 100
==28144== Profiling result:
"Start","Duration","Name","Correlation_ID"
ms,ms,,
323.719436,0.004078,"cudaLaunchKernel",118
323.723766,0.002452,"cudaLaunchKernel",119
323.726430,0.002317,"cudaLaunchKernel",120
323.728949,0.002101,"cudaLaunchKernel",121
323.731270,0.002091,"cudaLaunchKernel",122
323.733582,0.002106,"cudaLaunchKernel",123
323.736040,0.018658,"cudaThreadSynchronize",124
323.755075,0.002952,"cudaLaunchKernel",125
323.758172,0.006216,"cudaThreadSynchronize",126
323.764650,0.002911,"cudaLaunchKernel",127
323.767788,0.002183,"cudaLaunchKernel",128
323.770171,0.002296,"cudaLaunchKernel",129
323.772655,0.001993,"cudaLaunchKernel",130
323.774841,0.002080,"cudaLaunchKernel",131
323.777111,0.001982,"cudaLaunchKernel",132
323.779287,0.002066,"cudaLaunchKernel",133
323.781469,0.021732,"cudaThreadSynchronize",134
323.803565,0.000853,"cudaDeviceSynchronize",135
323.804546,0.015094,"cudaMemcpy",136
323.820105,0.003759,"cudaMalloc",137
323.823989,0.003794,"cudaMemcpy",138
323.827937,0.000905,"cudaMemset",139
323.829152,0.003338,"cudaLaunchKernel",140
323.832779,0.002223,"cudaLaunchKernel",141
323.835218,0.002390,"cudaLaunchKernel",142
323.837816,0.002123,"cudaLaunchKernel",143
323.840158,0.002092,"cudaLaunchKernel",144
323.842468,0.002036,"cudaLaunchKernel",145
323.844718,0.001938,"cudaLaunchKernel",146
323.846771,0.018601,"cudaThreadSynchronize",147
323.865607,0.002347,"cudaLaunchKernel",148
323.868070,0.006416,"cudaThreadSynchronize",149
323.874735,0.002506,"cudaLaunchKernel",150
323.877489,0.002254,"cudaLaunchKernel",151
323.879950,0.002173,"cudaLaunchKernel",152
323.882327,0.002635,"cudaLaunchKernel",153
323.885147,0.002050,"cudaLaunchKernel",154
323.887393,0.002191,"cudaLaunchKernel",155
323.889781,0.002024,"cudaLaunchKernel",156
323.891919,0.022267,"cudaThreadSynchronize",157
323.914329,0.000775,"cudaDeviceSynchronize",158
323.915239,0.011045,"cudaMemcpy",159
323.926459,0.002834,"cudaMalloc",160
323.929372,0.002814,"cudaMemcpy",161
323.932318,0.000815,"cudaMemset",162
